,沪深300
2009-04-02,2558.26
2009-04-03,2555.61
2009-04-07,2543.65
2009-04-08,2479.35
2009-04-09,2457.42
2009-04-10,2530.62
2009-04-13,2619.37
2009-04-14,2637.38
2009-04-15,2627.81
2009-04-16,2643.32
2009-04-17,2628.63
2009-04-20,2640.99
2009-04-21,2634.53
2009-04-22,2563.36
2009-04-23,2543.91
2009-04-24,2570.38
2009-04-27,2499.44
2009-04-28,2485.8
2009-04-29,2514.14
2009-04-30,2604.45
2009-05-04,2632.3
2009-05-05,2713.23
2009-05-06,2713.54
2009-05-07,2731.8
2009-05-08,2733.33
2009-05-11,2725.27
2009-05-12,2699.95
2009-05-13,2775.57
2009-05-14,2757.54
2009-05-15,2773.32
2009-05-18,2740.92
2009-05-19,2821.95
2009-05-20,2812.6
2009-05-21,2735.77
2009-05-22,2719.12
2009-05-25,2675.28
2009-05-26,2718.55
2009-05-27,2715.82
2009-06-01,2798.93
2009-06-02,2855.06
2009-06-03,2864.71
2009-06-04,2899.67
2009-06-05,2937.18
2009-06-08,2912.49
2009-06-09,2892.72
2009-06-10,2966.58
2009-06-11,2951.27
2009-06-12,2883.32
2009-06-15,2898.07
2009-06-16,2929.04
2009-06-17,2930.49
2009-06-18,3014.44
2009-06-19,3047.27
2009-06-22,3072.53
2009-06-23,3028.45
2009-06-24,3068.24
2009-06-25,3103.87
2009-06-26,3109.32
2009-06-29,3122.16
2009-06-30,3159.63
2009-07-01,3150.65
2009-07-02,3247.57
2009-07-03,3249.11
2009-07-06,3333.1
2009-07-07,3327.35
2009-07-08,3261.32
2009-07-09,3334.68
2009-07-10,3375.97
2009-07-13,3358.52
2009-07-14,3375.87
2009-07-15,3467.13
2009-07-16,3489.56
2009-07-17,3482.87
2009-07-20,3515.53
2009-07-21,3533.16
2009-07-22,3532.38
2009-07-23,3596.36
2009-07-24,3591.88
2009-07-27,3669.51
2009-07-28,3705.04
2009-07-29,3453.64
2009-07-30,3511.29
2009-07-31,3635.55
2009-08-03,3716.57
2009-08-04,3712.43
2009-08-05,3691.98
2009-08-06,3602.57
2009-08-07,3539.7
2009-08-10,3485.36
2009-08-11,3509.72
2009-08-12,3390.36
2009-08-13,3338.85
2009-08-14,3334.73
2009-08-17,3137.48
2009-08-18,3083.2
2009-08-19,2982.22
2009-08-20,3021.25
2009-08-21,3113.7
2009-08-24,3178.86
2009-08-25,3019.12
2009-08-26,3065.46
2009-08-27,3116.89
2009-08-28,3030.73
2009-08-31,2825.77
2009-09-01,2795.49
2009-09-02,2813.62
2009-09-03,2892.65
2009-09-04,3038.99
2009-09-07,3078.13
2009-09-08,3047.3
2009-09-09,3143.74
2009-09-10,3150.17
2009-09-11,3152.69
2009-09-14,3240.53
2009-09-15,3264.95
2009-09-16,3212.45
2009-09-17,3274.58
2009-09-18,3170.96
2009-09-21,3090.61
2009-09-22,3131.02
2009-09-23,3041.42
2009-09-24,2989.24
2009-09-25,3028.41
2009-09-28,2959.74
2009-09-29,2923.93
2009-09-30,2988.29
2009-10-09,3071.27
2009-10-12,3151.26
2009-10-13,3140.5
2009-10-14,3204.31
2009-10-15,3227.09
2009-10-16,3188.43
2009-10-19,3231.81
2009-10-20,3343.02
2009-10-21,3358.55
2009-10-22,3341.42
2009-10-23,3354.98
2009-10-26,3385.44
2009-10-27,3314.32
2009-10-28,3258.27
2009-10-29,3239.0
2009-10-30,3276.32
2009-11-02,3198.31
2009-11-03,3397.25
2009-11-04,3415.22
2009-11-05,3432.26
2009-11-06,3474.36
2009-11-09,3452.61
2009-11-10,3501.5
2009-11-11,3468.86
2009-11-12,3487.68
2009-11-13,3445.36
2009-11-16,3541.05
2009-11-17,3619.99
2009-11-18,3612.79
2009-11-19,3604.61
