,中证500
2007-04-25,64389272.0
2007-04-26,55433348.0
2007-04-27,58297400.0
2007-04-30,65571152.0
2007-05-08,73123976.0
2007-05-09,83052496.0
2007-05-10,68513920.0
2007-05-11,60242752.0
2007-05-14,58751380.0
2007-05-15,64001792.0
2007-05-16,55559392.0
2007-05-17,62708704.0
2007-05-18,59209700.0
2007-05-21,71621744.0
2007-05-22,80650688.0
2007-05-23,74290000.0
2007-05-24,83135280.0
2007-05-25,71208664.0
2007-05-28,81156432.0
2007-05-29,75634104.0
2007-05-30,80630304.0
2007-05-31,74445304.0
2007-06-01,66043512.0
2007-06-04,45166436.0
2007-06-05,70413232.0
2007-06-06,67135672.0
2007-06-07,64774240.0
2007-06-08,64571340.0
2007-06-11,61730088.0
2007-06-12,73569736.0
2007-06-13,77713296.0
2007-06-14,68961104.0
2007-06-15,52084748.0
2007-06-18,57885768.0
2007-06-19,61844388.0
2007-06-20,67281000.0
2007-06-21,52002464.0
2007-06-22,55689412.0
2007-06-25,47652136.0
2007-06-26,43627272.0
2007-06-27,42012260.0
2007-06-28,39969480.0
2007-06-29,38787816.0
2007-07-02,33504868.0
2007-07-03,30575776.0
2007-07-04,26839808.0
2007-07-05,29414090.0
2007-07-06,37954628.0
2007-07-09,41519752.0
2007-07-10,34736936.0
2007-07-11,24806420.0
2007-07-12,23598616.0
2007-07-13,20163548.0
2007-07-16,20845936.0
2007-07-17,21454454.0
2007-07-18,24959894.0
2007-07-19,18838756.0
2007-07-20,35232856.0
2007-07-23,50433560.0
2007-07-24,51089456.0
2007-07-25,41057608.0
2007-07-26,47620396.0
2007-07-27,48190964.0
2007-07-30,53009656.0
2007-07-31,50712508.0
2007-08-01,59398872.0
2007-08-02,46425760.0
2007-08-03,53896072.0
2007-08-06,54750124.0
2007-08-07,51098864.0
2007-08-08,46105604.0
2007-08-09,38807228.0
2007-08-10,40678680.0
2007-08-13,40502416.0
2007-08-14,37008300.0
2007-08-15,37001028.0
2007-08-16,39367720.0
2007-08-17,38005656.0
2007-08-20,45576504.0
2007-08-21,49591844.0
2007-08-22,55468432.0
2007-08-23,50015584.0
2007-08-24,50881116.0
2007-08-27,52241820.0
2007-08-28,47776480.0
2007-08-29,44907272.0
2007-08-30,51519908.0
2007-08-31,55587884.0
2007-09-03,64639716.0
2007-09-04,57774064.0
2007-09-05,45766788.0
2007-09-06,51029932.0
2007-09-07,57324600.0
2007-09-10,49224552.0
2007-09-11,55784240.0
2007-09-12,47944356.0
2007-09-13,41370636.0
2007-09-14,46901568.0
2007-09-17,52511732.0
2007-09-18,49774864.0
2007-09-19,43110976.0
2007-09-20,41224368.0
2007-09-21,42901056.0
2007-09-24,39626580.0
2007-09-25,33147224.0
2007-09-26,27770924.0
2007-09-27,25245216.0
2007-09-28,35372404.0
2007-10-08,36258308.0
2007-10-09,35443192.0
2007-10-10,37983664.0
2007-10-11,36394376.0
2007-10-12,47244760.0
2007-10-15,34245876.0
2007-10-16,28644936.0
2007-10-17,27959088.0
2007-10-18,27461488.0
2007-10-19,22176600.0
2007-10-22,23355676.0
2007-10-23,22961572.0
2007-10-24,22316588.0
2007-10-25,30098040.0
2007-10-26,21560562.0
2007-10-29,18080846.0
2007-10-30,18713900.0
2007-10-31,26309612.0
2007-11-01,23393038.0
2007-11-02,21624770.0
2007-11-05,17471052.0
2007-11-06,16420338.0
2007-11-07,15667195.0
2007-11-08,17215608.0
2007-11-09,15929249.0
2007-11-12,17257974.0
2007-11-13,16725083.0
2007-11-14,19491376.0
2007-11-15,19245920.0
2007-11-16,15545429.0
2007-11-19,17968552.0
2007-11-20,19062836.0
2007-11-21,17508412.0
2007-11-22,15528087.0
2007-11-23,11425117.0
2007-11-26,14035768.0
2007-11-27,11995548.0
2007-11-28,11482784.0
2007-11-29,16398975.0
2007-11-30,15511798.0
2007-12-03,14052326.0
2007-12-04,13967543.0
2007-12-05,17699604.0
2007-12-06,15894081.0
2007-12-07,19130818.0
2007-12-10,27756960.0
2007-12-11,29101646.0
2007-12-12,25664016.0
2007-12-13,26583768.0
2007-12-14,22307464.0
2007-12-17,28954406.0
2007-12-18,17892084.0
2007-12-19,23556730.0
2007-12-20,23552788.0
2007-12-21,26200856.0
2007-12-24,34845136.0
2007-12-25,28556996.0
2007-12-26,30823800.0
2007-12-27,35701876.0
2007-12-28,29803572.0
2008-01-02,34345912.0
2008-01-03,41987484.0
2008-01-04,33308592.0
2008-01-07,40403712.0
2008-01-08,42472884.0
2008-01-09,34823784.0
2008-01-10,40849680.0
2008-01-11,34948236.0
2008-01-14,33850868.0
2008-01-15,36880404.0
2008-01-16,39059992.0
2008-01-17,42935088.0
2008-01-18,31238228.0
2008-01-21,35462972.0
2008-01-22,40374460.0
2008-01-23,38194756.0
2008-01-24,42780036.0
2008-01-25,38904384.0
2008-01-28,34534568.0
2008-01-29,23744432.0
2008-01-30,24904476.0
2008-01-31,18567936.0
2008-02-01,22513664.0
2008-02-04,21305052.0
2008-02-05,20773920.0
2008-02-13,15587040.0
2008-02-14,16113469.0
2008-02-15,19162780.0
2008-02-18,28922754.0
2008-02-19,28823324.0
2008-02-20,31477152.0
2008-02-21,31554580.0
2008-02-22,31199166.0
2008-02-25,26735588.0
2008-02-26,25287596.0
2008-02-27,23774898.0
2008-02-28,24117614.0
2008-02-29,25394688.0
2008-03-03,37422560.0
2008-03-04,43168116.0
2008-03-05,38579300.0
2008-03-06,44758020.0
2008-03-07,29953784.0
2008-03-10,23857880.0
2008-03-11,20439510.0
2008-03-12,22539380.0
2008-03-13,25924778.0
2008-03-14,16579345.0
2008-03-17,21112848.0
2008-03-18,24330980.0
2008-03-19,25517310.0
2008-03-20,28428386.0
2008-03-21,25717360.0
2008-03-24,25757548.0
2008-03-25,22386574.0
2008-03-26,19459636.0
2008-03-27,21748198.0
2008-03-28,23076200.0
2008-03-31,19053104.0
2008-04-01,22753576.0
2008-04-02,23076090.0
2008-04-03,18938840.0
2008-04-07,21854728.0
2008-04-08,25150056.0
2008-04-09,24320220.0
2008-04-10,20713312.0
2008-04-11,19907940.0
2008-04-14,20826898.0
2008-04-15,18137732.0
2008-04-16,17413194.0
2008-04-17,17224704.0
2008-04-18,16732307.0
2008-04-21,21837804.0
2008-04-22,19059848.0
2008-04-23,22778040.0
2008-04-24,47085732.0
2008-04-25,42792012.0
2008-04-28,30778740.0
2008-04-29,25885782.0
2008-04-30,37790832.0
2008-05-05,39172368.0
2008-05-06,39841700.0
2008-05-07,37470528.0
2008-05-08,31820528.0
2008-05-09,37449272.0
2008-05-12,37697504.0
2008-05-13,46981036.0
2008-05-14,43683680.0
2008-05-15,39735068.0
2008-05-16,30652808.0
2008-05-19,22805928.0
2008-05-20,31286546.0
2008-05-21,34400608.0
2008-05-22,31415976.0
2008-05-23,29245492.0
2008-05-26,28323668.0
2008-05-27,20108660.0
2008-05-28,23523876.0
2008-05-29,24258298.0
2008-05-30,21345458.0
2008-06-02,21008026.0
2008-06-03,22600916.0
2008-06-04,20518032.0
2008-06-05,17225468.0
2008-06-06,15106070.0
2008-06-10,18875808.0
2008-06-11,20126344.0
2008-06-12,20001540.0
2008-06-13,17586874.0
2008-06-16,15780758.0
2008-06-17,18512968.0
2008-06-18,26356834.0
2008-06-19,23981574.0
2008-06-20,27585838.0
2008-06-23,16676657.0
2008-06-24,20244826.0
2008-06-25,28449752.0
2008-06-26,30425738.0
2008-06-27,26066420.0
2008-06-30,16361769.0
2008-07-01,17018352.0
2008-07-02,17255784.0
2008-07-03,30751412.0
2008-07-04,26879750.0
2008-07-07,34492532.0
2008-07-08,36576108.0
2008-07-09,42098144.0
2008-07-10,42047452.0
2008-07-11,30154708.0
2008-07-14,26040784.0
2008-07-15,32645244.0
2008-07-16,27609956.0
2008-07-17,23928852.0
2008-07-18,23682384.0
2008-07-21,28663796.0
2008-07-22,29213112.0
2008-07-23,28395072.0
2008-07-24,30853128.0
2008-07-25,26398364.0
2008-07-28,27742362.0
2008-07-29,27028920.0
2008-07-30,22320518.0
2008-07-31,20879750.0
2008-08-01,20683964.0
2008-08-04,17827896.0
2008-08-05,18506416.0
2008-08-06,18056000.0
2008-08-07,17788436.0
2008-08-08,21309704.0
2008-08-11,19815712.0
2008-08-12,16283799.0
2008-08-13,17795574.0
2008-08-14,14520588.0
2008-08-15,13570525.0
2008-08-18,15336331.0
2008-08-19,13920257.0
2008-08-20,26330756.0
2008-08-21,25329284.0
2008-08-22,17875340.0
2008-08-25,14033218.0
2008-08-26,17692714.0
2008-08-27,16134188.0
2008-08-28,13263577.0
2008-08-29,19417916.0
2008-09-01,15455365.0
2008-09-02,15449478.0
2008-09-03,18866490.0
2008-09-04,15600557.0
2008-09-05,17462008.0
2008-09-08,15894645.0
2008-09-09,12755283.0
2008-09-10,15341723.0
2008-09-11,13175295.0
2008-09-12,10496691.0
2008-09-16,14941077.0
2008-09-17,14183202.0
2008-09-18,21147828.0
2008-09-19,23083756.0
2008-09-22,46244380.0
2008-09-23,27446202.0
2008-09-24,21766416.0
2008-09-25,34836876.0
2008-09-26,26804392.0
2008-10-06,20982550.0
2008-10-07,18706028.0
2008-10-08,16635678.0
2008-10-09,15749337.0
2008-10-10,19147468.0
2008-10-13,17247624.0
2008-10-14,21644382.0
