,中证500
2010-03-08,4618.86
2010-03-09,4653.06
2010-03-10,4659.5
2010-03-11,4594.5
2010-03-12,4561.61
2010-03-15,4485.88
2010-03-16,4453.81
2010-03-17,4500.43
2010-03-18,4628.0
2010-03-19,4632.05
2010-03-22,4669.41
2010-03-23,4690.27
2010-03-24,4662.99
2010-03-25,4675.22
2010-03-26,4609.75
2010-03-29,4701.79
2010-03-30,4720.58
2010-03-31,4744.34
2010-04-01,4756.3
2010-04-02,4833.81
2010-04-06,4853.33
2010-04-07,4851.83
2010-04-08,4856.41
2010-04-09,4866.52
2010-04-12,4948.1
2010-04-13,4977.76
2010-04-14,4910.7
2010-04-15,4975.08
2010-04-16,4900.6
2010-04-19,4850.86
2010-04-20,4680.2
2010-04-21,4753.12
2010-04-22,4881.25
2010-04-23,4892.04
2010-04-26,4868.72
2010-04-27,4852.19
2010-04-28,4682.33
2010-04-29,4730.49
2010-04-30,4540.65
2010-05-04,4353.45
2010-05-05,4388.5
2010-05-06,4557.45
2010-05-07,4313.65
2010-05-10,4346.7
2010-05-11,4350.77
2010-05-12,4100.6
2010-05-13,4042.31
2010-05-14,4129.89
2010-05-17,4125.66
2010-05-18,3894.09
2010-05-19,3946.15
2010-05-20,3941.61
2010-05-21,3787.15
2010-05-24,4016.35
2010-05-25,4134.93
2010-05-26,4117.49
2010-05-27,4133.33
2010-05-28,4254.85
2010-05-31,4214.62
2010-06-01,4059.41
2010-06-02,4004.13
2010-06-03,4099.85
2010-06-04,4025.28
2010-06-07,4000.65
2010-06-08,4064.78
2010-06-09,4124.81
2010-06-10,4191.29
2010-06-11,4239.06
2010-06-17,4221.6
2010-06-18,4131.68
2010-06-21,3960.25
2010-06-22,4081.64
2010-06-23,4098.26
2010-06-24,4090.97
2010-06-25,4079.19
2010-06-28,4023.11
2010-06-29,3960.68
2010-06-30,3699.18
2010-07-01,3657.96
2010-07-02,3600.76
2010-07-05,3535.74
2010-07-06,3556.19
2010-07-07,3672.15
2010-07-08,3729.24
2010-07-09,3699.31
2010-07-12,3809.75
2010-07-13,3816.46
2010-07-14,3795.21
2010-07-15,3817.18
2010-07-16,3713.66
2010-07-19,3718.13
2010-07-20,3849.04
2010-07-21,3953.77
2010-07-22,3947.99
2010-07-23,4020.91
2010-07-26,4023.06
2010-07-27,4062.25
2010-07-28,4061.02
2010-07-29,4170.76
2010-07-30,4181.22
2010-08-02,4192.66
2010-08-03,4277.27
2010-08-04,4178.19
2010-08-05,4247.05
2010-08-06,4260.63
2010-08-09,4357.18
2010-08-10,4412.27
2010-08-11,4230.35
2010-08-12,4248.98
2010-08-13,4240.5
2010-08-16,4322.02
2010-08-17,4436.38
2010-08-18,4462.58
2010-08-19,4456.27
2010-08-20,4442.69
2010-08-23,4363.17
2010-08-24,4401.52
2010-08-25,4428.36
2010-08-26,4376.92
2010-08-27,4393.99
2010-08-30,4453.05
2010-08-31,4541.77
2010-09-01,4595.21
2010-09-02,4562.43
2010-09-03,4632.26
2010-09-06,4682.26
2010-09-07,4650.95
2010-09-08,4660.9
2010-09-09,4730.86
2010-09-10,4655.7
2010-09-13,4713.06
2010-09-14,4796.46
2010-09-15,4802.61
2010-09-16,4721.55
2010-09-17,4616.57
2010-09-20,4608.85
