,创业板
2012-03-14,795.12
2012-03-15,754.53
2012-03-16,748.05
2012-03-19,764.95
2012-03-20,777.39
2012-03-21,758.89
2012-03-22,750.45
2012-03-23,748.87
2012-03-26,735.16
2012-03-27,739.44
2012-03-28,732.68
2012-03-29,692.37
2012-03-30,682.28
2012-04-05,677.76
2012-04-06,697.86
2012-04-09,699.87
2012-04-10,686.48
2012-04-11,689.85
2012-04-12,699.42
2012-04-13,715.04
2012-04-16,714.85
2012-04-17,716.53
2012-04-18,710.14
2012-04-19,723.83
2012-04-20,724.13
2012-04-23,724.9
2012-04-24,680.61
2012-04-25,679.75
2012-04-26,683.02
2012-04-27,677.55
2012-05-02,692.35
2012-05-03,693.4
2012-05-04,699.88
2012-05-07,710.98
2012-05-08,733.83
2012-05-09,727.6
2012-05-10,718.24
2012-05-11,726.56
2012-05-14,725.52
2012-05-15,714.58
2012-05-16,718.71
2012-05-17,709.5
2012-05-18,711.69
2012-05-21,705.87
2012-05-22,706.92
2012-05-23,715.03
2012-05-24,711.69
2012-05-25,713.04
2012-05-28,699.64
2012-05-29,705.79
2012-05-30,720.57
2012-05-31,724.46
2012-06-01,733.62
2012-06-04,721.68
2012-06-05,718.11
2012-06-06,717.13
2012-06-07,721.56
2012-06-08,716.42
2012-06-11,714.12
2012-06-12,731.04
2012-06-13,735.6
2012-06-14,745.76
2012-06-15,742.38
2012-06-18,744.05
2012-06-19,751.27
2012-06-20,747.64
2012-06-21,746.61
2012-06-25,736.18
2012-06-26,716.3
2012-06-27,715.52
2012-06-28,719.09
2012-06-29,708.11
2012-07-02,730.77
2012-07-03,742.2
2012-07-04,744.7
2012-07-05,738.49
2012-07-06,727.69
2012-07-09,733.66
2012-07-10,719.89
2012-07-11,710.89
2012-07-12,718.62
2012-07-13,731.49
2012-07-16,722.82
2012-07-17,687.74
2012-07-18,695.92
2012-07-19,701.23
2012-07-20,707.83
2012-07-23,703.2
2012-07-24,700.58
2012-07-25,704.7
2012-07-26,707.77
2012-07-27,707.97
2012-07-30,703.7
2012-07-31,686.54
2012-08-01,677.53
2012-08-02,688.33
2012-08-03,691.79
2012-08-06,708.26
2012-08-07,729.63
2012-08-08,734.88
